繁體中文,简体中文,英文,註解
心理驚悚片,心理惊悚片,psychological thriller,素材內容類型
比率,比率,rate,
分級,分级,rated,
分級,分级,rating,
即時視訊,真时视频,real-time video,
宗教片,宗教片,religion,素材內容類型
解析度,分辨率,resolution,
樣本大小,样本大小,sample size,
尺度,尺度,scale,
科幻片,科幻片,science fiction,素材內容類型
科幻動作片,科幻动作片,scifi action,素材內容類型
審查,审查,screening,
腳本作者,脚本作者,script writer,
序列,序列,serial,
銳利度,锐利度,sharpness,
默劇,默剧,silent movie,素材內容類型
單頻道,单频道,single channel,
輔助區塊大小,辅助列块大小,size of auxiliary block,
鬧劇,闹剧,slapstick,素材內容類型
軟體,软件,software used,
軟體,软件,software,素材內容類型
來源來自,源来自,source form,
來源,源,source,
結巴說話,结巴说话,splatter,
運動片,运动片,sports,素材內容類型
主演,主演,starring,
立體,立体,stereo,
串流位元,流式位,stream bitrate,
串流格式定義塊,流式格式定义块,stream format definition chunk,
串流格式,流式格式,stream format,
串流標頭,流式标头,stream header,
串流長度,流式长度,stream length,
串流模式,流式模式,stream mode,
串流名稱,流式名称,stream name,
串流優先等級,流式优先级,stream priority,
串流品質,流式质量,stream quality,
串流率,流式率,stream rate,
串流尺度,流式尺度,stream scale,
串流起點,流式起点,stream start,
視訊串流,视频流,streaming video,
工作室,演播室,studio,
主題描述,主题描述,subject description,
主題,主题,subject,
建議緩衝區大小,建议缓冲区大小,suggested buffer size,
超級索引塊,超级索引块,super index chunk,
技術人員 (數位化者),技术人员 (数字化者),technician (digitizer),
電視劇,电视剧,teleplay,素材內容類型
電視翻譯,电视翻译,teletranslation,素材內容類型
電視,电视,television,素材內容類型
恐怖片,恐怖片,thriller,素材內容類型
標題,标题,title,
標題,标题,title,素材內容類型
轉場,过渡,transition,
未知的音訊碼,未知的音频码,unknown audio code,
未分級,未分级,unrated,素材內容類型
向量動畫,矢量动画,vector animation,素材內容類型
垂直解析度,垂直分辨率,vertical resolution,
視訊幀大小,视频帧大小,video frame size,
視訊標頭,视频标头,video header,
視訊串流格式,视频流格式,video stream format,
視訊串,视频串,video stream,
西部片,西部片,western,素材內容類型
寫作由,写作由,written by,
"正在渲染 ""%s""","正在渲染 ""%s""","rendering ""%s""",
相簿,相册,album,
對齊文字,对齐文字,align text,
音訊壓縮器,音频压缩器,audio compressors,
音訊,音频,audio,
自動連結,自动链接,auto link,
輔助檔案,辅助文件,auxiliary file,
背景音樂,背景音乐,background music,
背景,背景,background,
退一幀,退一帧,backward one frame,
平衡,平衡,balance,
頻寬,带宽,bandwidth,
批次擷取,批量捕捉,batch capture,
最好品質,最好质量,best quality,
最好,最好,best,
較好品質,较好质量,better quality,
較好,较好,better,
模糊,模糊,blur,
亮度,亮度,brightness,
瀏覽外觀,浏览外观,browse looks,
瀏覽字型,浏览字体,browse typefaces,
按鈕號碼,按钮号码,button number,
按鈕,按钮,button,
攝影機,摄像机,camcoder,
擷取,捕捉,capture,
已擷取視訊,已捕捉视频,captured video,
CD 音訊內容,CD 音频属性,cd audio properties,
CD 音訊,CD 音频,cd audio,
頻道,频道,channel,
素材,素材,clip,
粗略,粗略,coarse,
編碼解碼器,编码解码器,codec,
色彩漸層,颜色渐层,color gradient,
色彩,颜色,color,
組合素材,组合素材,combine clips,
組合場景,组合场景,combine scenes,
複合視訊輸入,复合视频输入,composite video input,
複合視訊,复合视频,composite video,
壓縮格式,压缩格式,compression format,
壓縮方式,压缩方式,compression,
對比度,对比度,contrast,
爬行,爬行,crawl,
建立章節,创建章节,create chapter,
建立字幕,创建字幕,create title,
資料傳輸率,数据传输率,data rate,
預設,默认,default,
數位,数字,digital,
光碟章節,光盘章节,disc chapter,
光碟選單,光盘菜单,disc menu,
溶解,渐隐,dissolve,
掉幀,掉帧,dropped frame,
輸出電影,输出电影,dump movie,
持續時間,持续时间,duration,
橢圓,椭圆,eclipse,
彈出,弹出,eject,
彈出,弹出,eject,
浮雕,浮雕,emboss,
時間終點,时间终点,end time,
終點幀,终点帧,ending frame,
淡入,淡入,fade in,
淡出,淡出,fade out,
淡變,淡变,fade,
快進,快进,fast forward,
快播,快播,fast play,
快退,快退,fast reverse,
快速掃瞄,快速扫描,fast scan,
快進,快进,fastforward,
影片,影片,film,
細緻,细致,fine,
完成,完成,finish,
進一幀,进一帧,forward one frame,
逐幀播放,逐帧播放,frame advance,
幀抓取器,帧抓取器,frame grabber,
逐幀倒放,逐帧倒放,frame reverse,
幀,帧,frame,
掉幀數,掉帧数,frames dropped,
幀/秒,帧/秒,frames/sec,
剩餘:,剩馀:,free:,
完全 DV 品質,完全 DV 质量,full dv quality,
全螢幕,全屏,full screen,
全部,全部,full,
完全品質擷取,完全质量捕捉,full-quality capture,
圖形快取,图形缓存,glyph cache,
良好品質,良好质量,good quality,
良好,良好,good,
抓取視訊幀,抓取视频帧,grab video frame,
抓取,抓取,grab,
抓取的幀,抓取的帧,grabbed frame,
重疊字幕,重叠字幕,graphic overlay,
字幕,字幕,graphic,
時,时,hour,時間單位
色調,色调,hue,
水平與垂直緊排,水平与垂直紧排,kerning & leading,
去背效果,去背效果,keyer effects,
圖層,图层,layer,
外觀瀏覽器,外观浏览器,look browser,
外觀編輯器,外观编辑器,look editor,
主選單,主菜单,main menu,
製做電影,制做电影,make movie,
手動連結,手工链接,manual link,
選單活化,菜单激活,menu activate,
選單號碼,菜单号码,menu number,
選單縮圖,菜单缩略图,menu thumbnail,
選單,菜单,menu,
分,分,minute,時間單位
單音,单音,mono,
馬賽克,马赛克,mosaic,
動態按鈕,动态按钮,motion button,
動態選單,动态菜单,motion menu,
靜音,静音,mute,
下一個按鈕,下一个按钮,next button,
下一個章節,下一个章节,next chapter,
下一幀, 下一帧,next frame,
下一個選單,下一个菜单,next menu,
一般按鈕,常规按钮,normal button,
不是按鈕,不是按钮,not a button,
不透明度,不透明度,opacity,
原始終點,原始终点,original end,
原始起點,原始起点,original start,
重疊字幕,重叠字幕,overlay titile,
粒子,粒子,particles,
暫停, 暂停,pause,
相片,相片,photo,
圖片,图片,picture,
播放, 播放,play back,
倒放, 倒放,play reverse,
播放, 播放,play,
播放, 播放,playback,
海報化,海报化,posterize,
預先設定值,预先设置数值,preset,
預置,预置,preset,
上一個按鈕,上一个按钮,previous button,
上一個章節,上一个章节,previous chapter,
上一幀, 上一帧,previous frame,
上一個選單,上一个菜单,previous menu,
專案,项目,project,
特性,特性,properties,
品質,质量,quality,
無線電臺,无线电台,radio,
錄製旁白,录制画外音,record voice-over,
錄製,录制,record,
渲染,渲染,render,
正在渲染音訊...,正在渲染音频..,rendering audio...,
重覆,重复,repeat,leon 認為是「重複」
快速倒放,快速倒放,reverse fast,
倒放掃瞄,倒放扫描,reverse scan,
慢速倒放,慢速倒放,reverse slow,
檢閱,检阅,review,
迴帶,回带,rewind,
漣漪與圓圈,涟漪与圆圈,ripples and circles,
捲動,卷动,roll,
根選單,根菜单,root menu,
旋轉與傾斜,旋转与倾斜,rotate & skew,
S-Video 輸入,S-Video 输入,s-video input,
S-Video,S-Video,s-video,
飽合度,饱合度,saturation,
場景偵測,场景检测,scene detection,
場景索引選單,场景索引菜单,scene index menu,
場景,场景,scene,
秒,秒,second,時間單位
設定光碟跳躍,设置光盘跳跃,set disc jump,
設定連結,设置链接,set link,
設定選單按鈕連結,设置菜单按钮链接,set menu button link,這裡的選單不能使用功能表
設定選單連結,设置菜单链接,set menu link,這裡的選單不能使用功能表
設定返回到選單,设置返回到菜单,set return to menu,這裡的選單不能使用功能表
設定縮圖,设置缩略图,set thumbnail,
設定,设置,setup,
陰影,阴影,shader,
陰影模糊,阴影模糊,shadow blur,
陰影,阴影,shadow,
共享,共享,share,
共享品質,共享质量,sharing quality,
銳利圖片視訊,锐利图片视频,sharpest image video,
銳利度,锐利度,sharpness,
拍攝時間,拍摄时间,shooting time,
顯示連結,显示链接,show links,
音效卡,声卡,sound card,
聲音效果,声音效果,sound effect,
來源匣,源匣,source deck,
來源,源,source,
分割素材,分割素材,split clip,
分割場景,分割场景,split sence,
分散,分散,spread,
展開,展开,spread,
準備,准备,stand by,
時間起點,时间起点,start time,
開始,开始,start,用於 playback
起點幀,起点帧,starting frame,
立體聲音樂,立体声音乐,stereo music,
立體聲,立体声,stereo,
停止,停止,stop,
故事板,故事板,storyboard,
串流,流式,stream,
分解動作頻率,分解动作频率,strobe frequency,
studio,studio,studio,
樣式預先設定,样式预先设置,style presets,
再分割場景,再分割场景,subdivide scenes,
帶入視訊,带入视频,take to video,
帶子,带子,tape,
縮圖按鈕,缩略图按钮,thumbnail button,
縮圖,缩略图,thumbnail,
時間終點,时间终点,time end,
時間起點,时间起点,time start,
時間線,时间线,timeline,
重疊字幕,重叠字幕,title overlay,
字幕,字幕,title,
變形,变形,transform,
轉場持續時間,过渡持续时间,transition duration,
轉場,过渡,transition,
修剪終點,修剪终点,trim end,
修剪起點,修剪起点,trim start,
修剪,修剪,trim,
修剪後終點,修剪后终点,trimmed end,
修剪後起點,修剪后起点,trimmed start,
修剪器,修剪器,trimmer,
電視調諧器,电视调谐器,tuner,
字型,字体,typeface,
視訊輸入,视频输入,video in,
視訊輸入,视频输入,video input,
視訊輸出,视频输出,video out,
視訊輸出,视频输出,video output,
視訊串流,视频流,video stream,
視訊,视频,video,
旁白,画外音,voice-over,
抹拭,划变,wipe,
50/50 混合,50/50 混合,50/50 blend,
變動位元率,变动比特率,VBR,
加乘式混合,加乘式混合,additive blend,
加乘,加乘,additive,
專輯,专辑,album,
Alpha 混合,Alpha 混合,alpha blending,
最上層顯示,总在最前面,always on top,
分析器,分析器,analyzer,
演出,演出,artist,
帶,带,bands,
節拍偵測,节拍检测,beat detection,
節拍,节拍,beat,
雙線性過濾,双线性过滤,bilinear filtering,
位元率,比特率,bitrate,
混合映象,混合映象,blend blitter,
混合,混合,blending,
映像方向,映像方向,blitter direction,
書籤,书签,bookmark,
增亮,增亮,brighten,
凸塊,凸块,bump,
凸起,凸起,bumpy,
酷特列,酷特栏,clutterbar,TANG 發明的名稱 原意是散亂 淩亂
褪色,褪色,colorfade,
註解,注解,comment,
編寫,编写,compilation,
作曲,作曲,composer,
版權,版权,copyright,
重覆循環,重覆循环,cycle through,
0.5x 變暗,0.5x 变暗,darken by 0.5x,
解碼線程,解码线程,decode thread,
分離 RGB 值,分离 RGB 值,dissociate RGB values,
圓點色彩,圆点颜色,dot colors,
點狀,点状,dot scope,
點距,点距,dot spacing,
兩倍大小,两倍大小,double size,
下降混合,下降混合,downmix,
降低取樣,降低采样,downsample,
滴落深度,滴落深度,drop depth,
水滴半徑,水滴半径,drop radius,
易移模式,易移模式,easymove,
彈出,弹出,eject,
工程,工程,engineer,
佇列,队列,enqueue, winamp 翻譯限制 沒辦法塞那麼多字元
EQ 等化器,EQ 均衡器,equalizer,
跳線式,跳线式,every-other-line,
跳像素,跳象素,every-other-pixel,
淡入,淡入,fade in,
淡出,淡出,fade out,
淡變速度,淡变速度,fade velocity,
淡變,淡变,fade,
影迷,影迷,fan,
快進,快进,fastforward,
實心三角形,实心三角形,filled Triangles,
扁平,扁平,flat,
浮點,浮点,floating-point,
全螢幕,全屏,fullscreen,
向前 5 秒,向前 5 秒,fwd 5 seconds,
風格,风格,genre,
粒子化濾鏡,粒子化滤镜,grain filter,
一半大小,一半大小,half size,
硬式限制器,硬式限制器,hard limiter,
強烈模糊化,强烈模糊化,heavy blur,
樂器,乐器,instruments,
內插空白特效,内插空白特技,interleave effect,
插補,插补,interpolation,
顛倒深度,颠倒深度,invert depth,
跳到,跳到,jump to,
雷射,激光,laser,
收藏館,收藏馆,library,只用於樂曲收藏 不用於程式函式庫
輕微模糊化,轻微模糊化,light blur,
線型,线型,line scope,
網址,网址,location,
循環,循环,looping,
最大混合,最大混合,max Blend,
中等模糊化,中等模糊化,medium blur,
中繼資料,中继数据,metadata,
微音量傾斜,微音量倾斜,micro volume-ramping,
靜音,静音,mute,
一般大小,常规大小,normal size,
註釋,注释,notes,
輕推分隔,轻推分隔,nudge parity,
節拍時,节拍时,on-beat,
節拍時,节拍时,onbeat,
原創,原创,orig. artist,
示波器,示波器,oscilliscope,
重疊模式,重叠模式,overlay mode,
全景,全景,panning,
粒子大小,粒子大小,particle size,
補綴,补丁,patch,
暫停,暂停,pause,
圖片渲染,图片渲染,picture rendering,
定音,定音,pitch,
像素重覆,象素重覆,pixel doubling,
播放,播放,play, play: 播放(那一個檔案) playback: 播放控制 (向前向後) 一般情形下兩者皆譯為播放
播放控制,播放控制,playback, play: 播放(那一個檔案) playback: 播放控制 (向前向後) 一般情形下兩者皆譯為播放
播放清單,播放列表,playlist,
外掛程式,插件,plug-in,
前置放大,前置放大,preamp,
前置緩衝,前置缓冲,prebuffer,
偏好,首选,preferences,
預置,预置,preset,
投影區,投影区,projection zones,
隨機排列,随机排列,randomize list,
適應,适应,readapt,
矩型座標,矩型座标,rect coords,
矩形座標,矩形座标,rectangular coordinate,
渲染效果,渲染效果,render effect,
渲染,渲染,render,
重複播放,重复播放,repeat,
共鳴低通過,共鸣低通过,resonant lowpass,
重新描繪,重新描绘,retrace,
取回,取回,retrieve,
反相立體聲,反相立体声,reverse stereo,
倒轉,倒转,rewind,
散射效果,散射效果,scatter effect,
偏移,偏移,shift,
隨機播放,随机播放,shuffle,
靜音區塊,静音列块,silence blocks,
面板瀏覽器,面板浏览器,skin browser,此處不用「皮膚」而用面板
面板,面板,skins,此處不用「皮膚」而用面板
平滑轉場,平滑过渡,smooth transitions,
密實,密实,solid scope,
排序名稱,排序名称,sort name, 這應該是錯誤翻譯
頻譜儀,频谱仪,spectrum analyzer,
固定結晶,固定结晶,static grain,
立體聲分離,立体声分离,stereo separation,
淡出式停止,淡出式停止,stop w/ fadeout,
串流,流式,streaming,
消去式混合,消去式混合,subtractive Blend,
環繞音效,环绕音效,surround sound,
同步化,同步化,synchronization,
同步化,同步化,synchronize,
經過時間,经过时间,time elapsed,
剩餘時間,剩余时间,time remaining,
時間波譜,时间波谱,timescope,
曲目名稱,曲目名称,track name,
曲目,曲目,tracks, 此處不用音軌、磁軌等等
末端靜音,末端静音,trailing silence,
轉場,过渡,transitions,
淘空,淘空,underrun,
單一色調,单一色调,unique tone,
不暫停,不暂停,unpause,
變數,变量,variables,
視訊,视频,video,
視覺化,视觉化,visualization,
聲紋,声纹,voiceprint,
音量,音量,volume,
水波特效,水波特技,water bump effect,
水質稠密度,水质稠密度,water density,
Xor 混合,Xor 混合,xor Blend,
年代,年代,year,
Bits 效能,Bits 效能,caps bits,
效能檢視器,效能查看器,caps viewer,
除錯輸出等級,调试错输出等级,debug output level,
驅動程式模組,驱动程序模块,driver module,
使用軟體模擬灰階演色,使用软件模拟灰阶演色,enumerate ramp rasterizer,
使用軟體模擬 RGB 對照演色,使用软件仿真 RGB 对照演色,enumerate reference rasterizer,
幀率,帧率,frame rate,
硬體加速,硬件加速,hardware acceleration,
使用硬體點陣圖區塊轉寫,使用硬件位图列块转写,hardware blt,
使用硬體色彩填入,使用硬件颜色填充,hardware color fill,
使用硬體通透性,使用硬件通透性,hardware transparency,
重新整理速率,刷新速率,refresh rate,
已註冊的服務提供者,已注册的服务提供者,registered service providers,
